date,open,high,low,close,volume,diversity
2022-09-30 09:17:00,85997.984,85997.984,86017.8773,86017.8773,4.44463,5
2022-09-30 13:17:00,86017.8773,86017.8773,86036.4942,86036.4942,3.5675,5
2022-09-30 17:17:00,86036.4942,86036.4942,86065.2447,86065.2447,4.348739999999999,7
2022-09-30 21:17:00,86065.2447,86065.2447,86097.8052,86097.8052,3.174353,6
2022-10-01 01:17:00,86097.8052,86097.8052,86127.4574,86127.4574,7.216168,5
2022-10-01 05:17:00,86127.4574,86127.4574,86150.484,86150.484,3.508765,9
2022-10-01 09:17:00,86150.484,86150.484,86174.9282,86174.9282,5.022080000000001,8
2022-10-01 13:17:00,86174.9282,86174.9282,86197.4441,86197.4441,2.2449999999999997,8
2022-10-01 17:17:00,86197.4441,86197.4441,86224.1845,86224.1845,1.6,7
2022-10-01 21:17:00,86224.1845,86224.1845,86237.2636,86237.2636,2.15775,9
2022-10-02 01:17:00,86237.2636,86237.2636,86251.2322,86251.2322,3.3706130000000005,8
2022-10-02 05:17:00,86251.2322,86251.2322,86263.718,86263.718,4.752768,8
2022-10-02 09:17:00,86263.718,86263.718,86271.5638,86271.5638,1.92,7
2022-10-02 13:17:00,86271.5638,86271.5638,86285.8799,86285.8799,3.779135,8
2022-10-02 17:17:00,86285.8799,86285.8799,86318.9124,86318.9124,2.134324,8
2022-10-02 21:17:00,86318.9124,86318.9124,86362.686,86362.686,1.76,7
2022-10-03 01:17:00,86362.686,86362.686,86414.7512,86414.7512,2.448,8
2022-10-03 05:17:00,86414.7512,86414.7512,86474.9462,86474.9462,4.824,8
2022-10-03 09:17:00,86474.9462,86474.9462,86534.6002,86534.6002,20.237183,10
2022-10-03 13:17:00,86534.6002,86534.6002,86549.7929,86549.7929,4.878654,10
2022-10-03 17:17:00,86549.7929,86549.7929,86558.0483,86558.0483,5.610150000000001,8
2022-10-03 21:17:00,86558.0483,86558.0483,86568.2551,86568.2551,2.4434190000000005,9
2022-10-04 01:17:00,86568.2551,86568.2551,86586.6768,86586.6768,2.611247,9
2022-10-04 05:17:00,86586.6768,86586.6768,86609.5936,86609.5936,2.8133280000000003,8
2022-10-04 09:17:00,86609.5936,86609.5936,86629.2626,86629.2626,2.7260060000000004,9
2022-10-04 13:17:00,86629.2626,86629.2626,86648.2713,86648.2713,2.287901,10
2022-10-04 17:17:00,86648.2713,86648.2713,86673.1523,86673.1523,2.4812469999999998,11
2022-10-04 21:17:00,86673.1523,86673.1523,86692.5926,86692.5926,4.433831,10
2022-10-05 01:17:00,86692.5926,86692.5926,86718.31,86718.31,4.720000000000001,8
2022-10-05 05:17:00,86718.31,86718.31,86746.294,86746.294,3.68,8
2022-10-05 09:17:00,86746.294,86746.294,86773.4202,86773.4202,3.7086370000000004,7
2022-10-05 13:17:00,86773.4202,86773.4202,86792.6142,86792.6142,4.199289,6
2022-10-05 17:17:00,86792.6142,86792.6142,86804.1504,86804.1504,2.737556,9
2022-10-05 21:17:00,86804.1504,86804.1504,86818.3704,86818.3704,3.400125,12
2022-10-06 01:17:00,86818.3704,86818.3704,86834.2109,86834.2109,3.425,11
2022-10-06 05:17:00,86834.2109,86834.2109,86850.4087,86850.4087,1.948587,10
2022-10-06 09:17:00,86850.4087,86850.4087,86870.1435,86870.1435,2.529338,11
2022-10-06 13:17:00,86870.1435,86870.1435,86887.2589,86887.2589,3.2838309999999997,9
